ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	кадр	блоб	bbox	площадь	rgb	score
28	14	0.296	палка-древко-бирюзовое	2.2	2.7	снег-в-тени	2.405	49.8	-17.0	-17.0	24.0	маска	DJI_20260813183140_0012_Z.JPG	218	2359,1111,4,4	11	53,126,146	39.0
29	4	0.297	палка-ручка-контроль	2.2	2.8	лишайник-жёлтый-на-камне	0.969	60.4	5.0	24.0	24.5	маска	DJI_20260813183534_0014_Z_00m31s.jpg	201	98,986,2,3	6	168,140,104	20.2
30	15	0.298	палка-древко-бирюзовое	2.0	4.6	снег-в-тени	2.372	57.1	-17.0	-16.0	23.3	bbox	DJI_20260813183140_0012_Z.JPG	269	1761,1352,2,3	6	76,146,164	23.0
31	16	0.300	палка-древко-бирюзовое	2.2	3.1	снег-в-тени	2.405	49.4	-17.0	-17.0	24.0	маска	DJI_20260813183140_0012_Z.JPG	247	2379,1097,2,4	8	53,126,146	28.6
32	1	0.307	стакан-марка-красная	1.0	7.8	порода-охристая	1.132	42.0	11.0	2.0	11.2	маска	DJI_20260813183004_0001_Z_01m56s.jpg	33	675,956,8,8	23	136,117,117	93.1
33	5	0.318	палка-ручка-контроль	2.2	4.3	лишайник-жёлтый-на-камне	1.119	53.3	4.0	25.0	25.3	маска	DJI_20260813183534_0014_Z_00m31s.jpg	33	34,827,10,9	49	167,143,108	192.5
34	17	0.342	палка-древко-контроль	2.2	5.5	снег-в-тени	1.645	36.1	-9.0	-17.0	19.2	маска	DJI_20260813183140_0012_Z.JPG	29	1835,1351,37,17	239	45,89,109	949.8
35	8	0.355	рюкзак-синий	2.8	0.8	снег-в-тени	1.066	38.0	-1.0	-16.0	16.0	маска	DJI_20260813183028_0002_Z.JPG	49	1649,917,15,20	104	114,130,144	457.3
36	1	0.358	стакан-марка-красная	2.8	1.6	снег-розовый	1.416	48.2	9.0	-1.0	9.1	маска	DJI_20260813183004_0001_Z_03m40s.jpg	13	133,919,11,12	69	144,126,132	267.8
37	18	0.370	палка-древко-бирюзовое	2.8	3.1	снег-в-тени	2.466	49.4	-17.0	-18.0	24.8	маска	DJI_20260813183140_0012_Z.JPG	140	1716,1386,9,5	27	48,124,145	107.4
38	6	0.375	палка-ручка-контроль	2.2	7.0	лишайник-жёлтый-на-камне	1.200	50.6	7.0	24.0	25.0	маска	DJI_20260813183534_0014_Z_00m31s.jpg	96	42,850,5,5	18	165,137,102	66.6
39	19	0.377	палка-древко-бирюзовое	2.8	3.7	снег-в-тени	2.466	48.8	-17.0	-18.0	24.8	маска	DJI_20260813183140_0012_Z.JPG	168	1681,1406,6,5	19	47,123,144	73.2
40	7	0.377	стакан-марка-красная	3.0	1.2	снег-в-тени	1.567	48.6	11.0	-2.0	11.2	маска	DJI_20260813183534_0014_Z_00m31s.jpg	108	408,572,3,7	16	108,88,95	55.2
41	20	0.377	палка-ручка-пробка	3.0	1.2	лишайник-жёлтый-на-камне	1.108	74.5	8.0	23.0	24.4	маска	DJI_20260813183140_0012_Z.JPG	242	865,1761,4,2	8	212,177,141	29.9
42	8	0.378	палка-ручка-контроль	2.2	7.1	лишайник-жёлтый-на-камне	0.952	64.7	5.0	24.0	24.5	маска	DJI_20260813183534_0014_Z_00m31s.jpg	10	104,986,13,17	127	191,164,129	491.0
43	3	0.383	стакан-марка-красная	2.8	4.1	порода-охристая	1.170	53.9	9.0	3.0	9.5	маска	DJI_20260813183101_0008_Z.JPG	177	1047,289,8,4	24	138,113,113	94.2
44	21	0.385	палка-древко-бирюзовое	2.8	4.3	снег-в-тени	2.465	48.2	-17.0	-18.0	24.8	маска	DJI_20260813183140_0012_Z.JPG	174	1693,1399,4,6	17	45,122,143	65.6
45	22	0.391	палка-древко-бирюзовое	2.8	4.7	снег-в-тени	2.465	47.8	-17.0	-18.0	24.8	маска	DJI_20260813183140_0012_Z.JPG	270	1657,1421,2,3	6	46,122,143	22.8
46	23	0.397	палка-древко-бирюзовое	2.8	5.0	снег-в-тени	2.465	47.5	-17.0	-18.0	24.8	маска	DJI_20260813183140_0012_Z.JPG	203	1709,1393,4,4	12	45,122,143	45.7
47	9	0.397	рюкзак-синий	3.2	1.2	снег-в-тени	1.182	37.6	0.0	-17.0	17.0	маска	DJI_20260813183028_0002_Z.JPG	44	1665,897,12,15	101	105,123,142	476.9
48	4	0.400	стакан-марка-красная	3.2	1.8	снег-розовый	1.194	51.6	8.0	2.0	8.2	маска	DJI_20260813183101_0008_Z.JPG	284	678,1056,3,3	9	138,121,122	21.4
49	24	0.411	палка-древко-контроль	3.2	3.1	снег-в-тени	1.236	44.7	-9.0	-12.0	15.0	bbox	DJI_20260813183140_0012_Z.JPG	279	1480,1440,3,2	6	74,110,125	21.1
50	9	0.412	палка-ручка-контроль	2.8	5.9	лишайник-жёлтый-на-камне	1.155	63.5	8.0	24.0	25.3	маска	DJI_20260813183534_0014_Z_00m31s.jpg	49	432,1075,10,5	29	186,153,117	126.6
51	25	0.414	палка-древко-бирюзовое	3.2	3.5	снег-в-тени	2.427	49.0	-16.0	-19.0	24.8	bbox	DJI_20260813183140_0012_Z.JPG	282	1751,1374,2,3	6	49,125,147	20.9
52	5	0.422	стакан-марка-красная	3.2	4.1	снег-розовый	1.130	53.9	8.0	2.0	8.2	маска	DJI_20260813183101_0008_Z.JPG	294	1086,352,3,3	7	141,122,121	19.2
53	6	0.424	стакан-марка-красная	3.2	4.3	снег-розовый	1.125	54.1	8.0	2.0	8.2	маска	DJI_20260813183101_0008_Z.JPG	306	3591,1269,2,3	6	144,125,127	15.2
54	26	0.430	палка-древко-контроль	3.2	4.7	снег-в-тени	1.726	36.9	-9.0	-18.0	20.1	маска	DJI_20260813183140_0012_Z.JPG	240	2314,1154,4,3	9	43,90,113	30.8
55	3	0.433	рюкзак-синий	2.7	7.6	снег-в-тени	0.882	31.2	-1.5	-13.0	13.1	маска	C0049_00m18s.png	100	1449,501,2,4	8	60,77,98	29.5
56	10	0.437	стакан-марка-красная	3.2	4.9	снег-розовый	1.275	54.7	9.0	-1.5	9.1	маска	DJI_20260813183534_0014_Z_00m31s.jpg	61	937,1045,9,4	27	174,159,166	103.7
57	27	0.442	палка-древко-контроль	3.2	5.5	снег-в-тени	1.733	36.1	-9.0	-18.0	20.1	маска	DJI_20260813183140_0012_Z.JPG	108	1808,1370,15,5	51	39,87,111	185.1
58	28	0.442	палка-древко-контроль	3.2	5.5	снег-в-тени	1.733	36.1	-9.0	-18.0	20.1	маска	DJI_20260813183140_0012_Z.JPG	169	1881,1343,8,5	20	39,87,110	72.0
59	29	0.442	палка-древко-контроль	3.2	5.5	снег-в-тени	1.733	36.1	-9.0	-18.0	20.1	маска	DJI_20260813183140_0012_Z.JPG	202	1473,1520,6,3	13	40,87,110	46.3
60	30	0.442	палка-древко-контроль	3.2	5.5	снег-в-тени	1.733	36.1	-9.0	-18.0	20.1	маска	DJI_20260813183140_0012_Z.JPG	209	2358,1132,5,4	12	40,87,110	43.2
61	31	0.447	палка-ручка-контроль	2.2	9.8	лишайник-жёлтый-на-камне	1.208	47.8	4.0	25.0	25.3	маска	DJI_20260813183140_0012_Z.JPG	110	3322,482,11,7	44	139,115,76	171.9
62	32	0.448	палка-древко-контроль	3.2	5.9	снег-в-тени	1.736	35.7	-9.0	-18.0	20.1	маска	DJI_20260813183140_0012_Z.JPG	49	1494,1502,32,14	146	41,91,112	564.7
63	33	0.448	палка-древко-контроль	3.2	5.9	снег-в-тени	1.736	35.7	-9.0	-18.0	20.1	маска	DJI_20260813183140_0012_Z.JPG	158	2383,1122,9,6	24	38,85,109	85.3
64	11	0.451	палка-ручка-контроль	3.6	0.2	лишайник-жёлтый-на-камне	1.267	57.8	9.0	24.0	25.6	маска	DJI_20260813183534_0014_Z_00m31s.jpg	147	303,806,2,6	12	170,134,102	37.7
65	7	0.452	стакан-марка-красная	3.6	0.8	снег-в-тени	1.353	49.0	9.0	-2.0	9.2	маска	DJI_20260813183101_0008_Z.JPG	13	723,1751,38,40	440	164,154,158	1856.1
66	2	0.452	стакан-марка-красная	3.6	0.8	снег-розовый	1.278	50.6	8.0	-1.0	8.1	маска	DJI_20260813183004_0001_Z_03m40s.jpg	25	734,715,9,11	39	136,117,122	134.4
67	34	0.455	палка-древко-контроль	3.2	6.3	снег-в-тени	1.740	35.3	-9.0	-18.0	20.1	маска	DJI_20260813183140_0012_Z.JPG	263	2368,1130,3,3	7	39,86,109	23.6
68	12	0.455	палка-ручка-пробка	3.6	1.8	лишайник-жёлтый-на-камне	0.997	77.5	8.0	21.0	22.5	маска	DJI_20260813183534_0014_Z_00m31s.jpg	72	353,1061,7,8	23	205,169,137	87.2
69	35	0.455	рюкзак-синий	3.0	7.2	снег-в-тени	1.272	31.6	1.0	-17.0	17.0	маска	DJI_20260813183140_0012_Z.JPG	117	1596,1478,8,5	37	57,74,100	160.4
70	4	0.461	рюкзак-синий	3.6	2.7	снег-в-тени	1.207	36.1	-1.0	-17.0	17.0	маска	C0049_00m18s.png	19	1457,490,8,5	34	69,88,114	147.4
71	8	0.469	стакан-марка-красная	3.2	7.1	порода-охристая	1.196	42.7	8.0	2.0	8.2	маска	DJI_20260813183101_0008_Z.JPG	225	3642,371,8,3	13	118,98,99	49.3
72	1	0.469	крышка-контроль	2.2	10.5	снег-пересвеченный	2.564	52.9	-21.0	-7.0	22.1	маска	DJI_20260813183727_0015_Z_03m32s.jpg	0	17,263,52,44	1312	71,118,119	5940.4
73	5	0.476	рюкзак-синий	3.0	8.0	снег-в-тени	1.292	30.8	1.5	-17.0	17.1	маска	C0049_00m18s.png	53	1523,499,4,4	16	58,72,98	68.2
74	36	0.476	палка-древко-контроль	2.0	11.3	снег-в-тени	1.516	52.9	-8.0	-17.0	18.8	маска	DJI_20260813183140_0012_Z.JPG	150	2078,1247,7,5	21	87,129,152	95.7
75	37	0.483	палка-древко-бирюзовое	2.2	11.0	снег-в-тени	2.469	63.5	-17.0	-17.0	24.0	маска	DJI_20260813183140_0012_Z.JPG	35	1645,1401,22,11	174	89,158,178	812.8
76	13	0.485	палка-ручка-контроль	3.6	5.1	лишайник-жёлтый-на-камне	1.321	52.5	9.0	24.0	25.6	маска	DJI_20260813183534_0014_Z_00m31s.jpg	159	305,799,4,6	12	154,118,86	33.1
77	3	0.486	стакан-марка-красная	3.6	5.1	снег-розовый	1.166	54.9	8.0	-1.0	8.1	маска	DJI_20260813183004_0001_Z_03m40s.jpg	102	157,661,2,3	6	147,130,134	18.2
78	4	0.488	стакан-марка-красная	3.2	7.8	снег-в-тени	1.392	42.0	8.5	-1.0	8.6	маска	DJI_20260813183004_0001_Z_03m40s.jpg	48	370,267,9,4	20	113,94,99	65.1
79	38	0.492	палка-древко-бирюзовое	3.2	8.2	снег-в-тени	2.099	44.3	-16.0	-13.0	20.6	bbox	DJI_20260813183140_0012_Z.JPG	281	1659,1364,3,2	6	51,112,126	21.0
80	6	0.494	рюкзак-синий	2.2	11.4	снег-в-тени	0.643	50.2	-1.0	-13.0	13.0	маска	C0049_00m18s.png	1	1471,455,52,26	456	95,108,129	1778.2
81	7	0.497	рюкзак-синий	2.8	9.8	снег-в-тени	0.846	29.0	-1.0	-12.0	12.0	маска	C0049_00m18s.png	6	1467,503,14,10	91	63,77,95	355.3
82	5	0.497	стакан-марка-красная	3.6	5.9	снег-розовый	1.276	55.7	9.0	-2.0	9.2	маска	DJI_20260813183004_0001_Z_03m40s.jpg	12	0,225,7,12	66	107,89,98	271.9
83	9	0.497	стакан-марка-красная	2.8	9.8	снег-в-тени	1.452	40.0	9.0	-1.0	9.1	маска	DJI_20260813183101_0008_Z.JPG	133	733,1684,10,8	44	121,104,110	170.5
84	8	0.498	рюкзак-синий	3.6	5.9	снег-в-тени	1.137	44.7	-1.0	-17.0	17.0	маска	C0049_00m18s.png	49	1537,459,6,5	19	86,106,134	72.8
85	10	0.500	рюкзак-синий	3.6	6.1	снег-в-тени	0.755	32.7	3.0	-11.0	11.4	маска	DJI_20260813183101_0008_Z.JPG	78	1879,1744,11,12	92	94,97,113	347.6
86	11	0.501	рюкзак-синий	4.0	0.8	снег-в-тени	0.405	39.6	1.0	-10.0	10.0	маска	DJI_20260813183101_0008_Z.JPG	124	3451,1497,9,8	49	83,88,102	188.0
87	6	0.510	стакан-марка-красная	3.6	6.7	снег-розовый	1.128	56.5	8.0	-1.0	8.1	маска	DJI_20260813183004_0001_Z_03m40s.jpg	32	25,174,8,5	30	139,118,124	109.3
88	2	0.510	стакан-марка-красная	3.2	9.0	порода-охристая	1.146	58.8	10.0	4.0	10.8	маска	DJI_20260813183727_0015_Z_03m32s.jpg	19	1270,958,11,11	100	146,124,123	370.9
89	12	0.510	рюкзак-синий	3.6	6.7	снег-в-тени	0.537	45.5	3.0	-11.0	11.4	маска	DJI_20260813183101_0008_Z.JPG	110	3676,118,10,9	63	114,116,132	228.1
90	10	0.513	палка-древко-контроль	4.0	2.7	снег-в-тени	0.850	44.3	-4.5	-13.0	13.8	маска	DJI_20260813183028_0002_Z.JPG	32	1716,802,20,17	149	77,100,116	631.7
91	14	0.515	стакан-марка-красная	4.1	0.0	снег-в-тени	1.399	49.8	10.0	-3.0	10.4	маска	DJI_20260813183534_0014_Z_00m31s.jpg	157	500,270,3,5	10	135,112,117	34.0
92	9	0.516	рюкзак-синий	3.6	7.0	снег-в-тени	0.696	31.8	-1.0	-11.0	11.0	маска	C0049_00m18s.png	11	1481,483,4,14	56	62,74,91	211.2
93	11	0.516	стакан-марка-красная	4.1	0.8	снег-розовый	1.149	50.6	7.0	2.0	7.3	bbox	DJI_20260813183028_0002_Z.JPG	369	897,478,2,3	6	134,116,117	15.6
94	12	0.516	стакан-марка-красная	2.2	12.2	порода-охристая	1.153	37.6	9.0	2.0	9.2	маска	DJI_20260813183028_0002_Z.JPG	75	465,2109,16,6	64	134,114,115	258.7
95	3	0.518	рюкзак-синий	4.0	3.7	снег-в-тени	0.337	42.5	1.0	-10.0	10.0	маска	DJI_20260813183727_0015_Z_03m32s.jpg	8	629,540,20,16	174	104,110,122	812.2
96	39	0.524	палка-ручка-контроль	2.0	12.9	лишайник-жёлтый-на-камне	1.252	44.7	6.0	24.0	24.7	маска	DJI_20260813183140_0012_Z.JPG	129	3435,731,8,6	31	131,105,70	123.0
97	7	0.537	стакан-марка-красная	4.2	2.3	снег-в-тени	1.250	47.5	8.0	-2.0	8.2	маска	DJI_20260813183004_0001_Z_03m40s.jpg	37	167,947,9,8	25	126,109,115	89.4
98	4	0.537	стакан-марка-красная	4.2	2.3	порода-охристая	1.005	47.5	8.0	4.0	8.9	маска	DJI_20260813183727_0015_Z_03m32s.jpg	40	1211,917,11,5	32	124,105,103	97.5
99	13	0.540	палка-древко-контроль	3.5	8.9	снег-в-тени	1.171	32.7	-4.5	-15.0	15.7	bbox	DJI_20260813183028_0002_Z.JPG	326	1610,973,3,2	6	49,79,99	23.8
100	40	0.549	палка-древко-контроль	3.6	8.6	снег-в-тени	1.580	50.2	-7.0	-18.5	19.8	маска	DJI_20260813183140_0012_Z.JPG	193	1997,1290,3,5	12	81,123,149	52.2
101	8	0.554	стакан-марка-красная	4.0	6.7	порода-охристая	1.493	56.5	15.0	1.0	15.0	маска	DJI_20260813183004_0001_Z_03m40s.jpg	7	958,482,10,13	84	160,130,137	369.6
102	14	0.554	стакан-марка-красная	3.6	9.0	снег-в-тени	1.352	40.8	8.0	-1.0	8.1	маска	DJI_20260813183028_0002_Z.JPG	152	560,936,10,7	29	116,100,104	103.1
103	13	0.554	стакан-марка-красная	3.6	9.0	снег-в-тени	1.352	40.8	8.0	-1.0	8.1	маска	DJI_20260813183101_0008_Z.JPG	205	453,2065,4,6	20	117,101,106	67.6
104	10	0.554	рюкзак-синий	3.6	9.0	снег-в-тени	1.132	47.8	-1.0	-17.0	17.0	маска	C0049_00m18s.png	34	1467,474,4,7	27	88,109,136	106.9
105	15	0.559	палка-ручка-контроль	4.5	0.0	лишайник-жёлтый-на-камне	1.358	57.6	10.0	24.0	26.0	маска	DJI_20260813183534_0014_Z_00m31s.jpg	73	358,1073,5,7	24	176,140,108	86.5
106	9	0.559	стакан-марка-красная	4.5	0.4	снег-в-тени	1.290	50.2	9.0	-3.0	9.5	маска	DJI_20260813183004_0001_Z_03m40s.jpg	27	33,341,4,9	29	98,81,91	117.5
107	14	0.561	стакан-марка-красная	4.5	1.2	порода-охристая	0.909	51.0	9.0	5.0	10.3	маска	DJI_20260813183101_0008_Z.JPG	223	775,1361,4,4	13	137,113,111	50.4
108	15	0.561	стакан-марка-красная	4.2	5.1	снег-в-тени	1.255	44.7	8.0	-2.0	8.2	маска	DJI_20260813183028_0002_Z.JPG	2	1424,1170,78,116	967	131,125,125	3844.8
109	41	0.563	палка-ручка-контроль	2.2	13.7	лишайник-жёлтый-на-камне	1.468	43.9	8.0	25.0	26.2	маска	DJI_20260813183140_0012_Z.JPG	7	3374,520,39,47	804	150,121,83	3624.5
110	15	0.563	рюкзак-синий	4.5	1.9	снег-в-тени	0.891	36.9	5.0	-12.0	13.0	маска	DJI_20260813183101_0008_Z.JPG	63	3740,1679,12,12	109	100,99,117	415.3
111	42	0.570	стакан-марка-красная	4.2	5.9	порода-охристая	0.972	43.9	8.0	4.0	8.9	маска	DJI_20260813183140_0012_Z.JPG	81	283,1786,12,16	81	110,90,89	288.7
112	10	0.576	стакан-марка-красная	4.2	6.3	снег-розовый	1.185	56.1	8.0	-2.0	8.2	маска	DJI_20260813183004_0001_Z_03m40s.jpg	21	7,8,6,19	48	143,124,129	169.5
113	11	0.577	стакан-марка-красная	4.0	8.0	порода-охристая	1.352	41.8	7.0	1.0	7.1	bbox	DJI_20260813183004_0001_Z_03m40s.jpg	106	115,897,2,3	6	109,92,96	13.4
114	5	0.579	стакан-марка-красная	3.6	10.2	порода-охристая	1.069	39.6	8.0	3.0	8.5	маска	DJI_20260813183727_0015_Z_03m32s.jpg	45	1869,666,7,7	27	126,107,107	78.2
115	16	0.580	палка-древко-контроль	4.5	4.3	снег-в-тени	0.841	45.9	-6.0	-11.0	12.5	маска	DJI_20260813183028_0002_Z.JPG	190	1712,825,7,5	21	89,114,126	78.3
116	17	0.580	стакан-марка-красная	4.0	8.2	снег-в-тени	1.527	41.6	11.0	-3.0	11.4	маска	DJI_20260813183028_0002_Z.JPG	61	365,609,9,13	84	114,94,102	347.0
117	12	0.581	стакан-марка-красная	4.2	6.7	снег-в-тени	1.261	43.1	8.0	-2.0	8.2	маска	DJI_20260813183004_0001_Z_03m40s.jpg	44	137,1073,3,7	21	115,96,102	73.6
118	16	0.585	рюкзак-синий	4.2	6.9	снег-в-тени	0.630	45.7	4.0	-11.0	11.7	маска	DJI_20260813183101_0008_Z.JPG	74	3516,315,12,12	97	111,113,130	366.8
119	13	0.587	стакан-марка-красная	4.2	7.1	снег-в-тени	1.263	42.7	8.0	-2.0	8.2	маска	DJI_20260813183004_0001_Z_03m40s.jpg	51	405,1053,6,3	16	157,141,149	59.0
120	43	0.587	рюкзак-синий	2.0	14.9	снег-в-тени	1.143	23.9	-1.0	-14.0	14.0	маска	DJI_20260813183140_0012_Z.JPG	228	2498,1093,5,3	10	41,56,75	34.7
121	18	0.588	стакан-марка-красная	4.5	5.1	снег-в-тени	1.292	44.7	9.0	-3.0	9.5	маска	DJI_20260813183028_0002_Z.JPG	96	940,1737,8,8	42	137,122,132	176.7
122	16	0.588	стакан-марка-красная	4.5	5.1	снег-в-тени	1.312	54.9	9.0	-3.0	9.5	маска	DJI_20260813183534_0014_Z_00m31s.jpg	21	515,0,21,4	78	135,117,125	283.5
123	17	0.588	стакан-марка-красная	4.5	5.1	снег-в-тени	1.312	54.9	9.0	-3.0	9.5	маска	DJI_20260813183534_0014_Z_00m31s.jpg	162	525,867,4,3	9	143,126,132	32.8
124	14	0.588	стакан-марка-красная	3.6	10.6	снег-в-тени	1.386	39.2	9.0	-2.0	9.2	маска	DJI_20260813183004_0001_Z_03m40s.jpg	42	72,411,5,6	21	111,93,99	74.5
125	17	0.589	стакан-марка-красная	2.2	14.5	порода-охристая	1.158	35.3	9.0	2.0	9.2	маска	DJI_20260813183101_0008_Z.JPG	98	630,1400,12,9	71	100,81,83	257.1
126	44	0.592	палка-ручка-пробка	3.2	12.3	лишайник-жёлтый-на-камне	1.406	88.0	4.0	26.0	26.3	маска	DJI_20260813183140_0012_Z.JPG	232	570,1787,3,3	8	245,213,171	33.9
127	45	0.593	палка-ручка-пробка	2.8	13.3	лишайник-жёлтый-на-камне	0.985	89.0	3.0	21.0	21.2	маска	DJI_20260813183140_0012_Z.JPG	105	559,1832,9,7	52	243,217,180	200.7
128	18	0.593	рюкзак-синий	4.5	5.3	снег-в-тени	0.557	33.5	1.0	-9.5	9.6	маска	DJI_20260813183101_0008_Z.JPG	192	2405,950,5,6	23	82,86,100	77.2
129	46	0.594	рюкзак-синий	2.0	15.1	снег-в-тени	1.148	23.7	-1.0	-14.0	14.0	маска	DJI_20260813183140_0012_Z.JPG	145	2517,1082,10,3	29	41,57,76	104.6
130	18	0.595	стакан-марка-красная	4.5	5.7	снег-розовый	1.075	55.5	7.0	-1.0	7.1	bbox	DJI_20260813183534_0014_Z_00m31s.jpg	198	964,1034,3,2	6	146,128,134	20.3
131	47	0.597	палка-ручка-пробка	3.2	12.5	лишайник-жёлтый-на-камне	0.929	88.2	4.0	20.0	20.4	маска	DJI_20260813183140_0012_Z.JPG	138	1347,1482,6,8	31	240,214,181	112.6
132	19	0.599	рюкзак-синий	4.2	7.8	снег-в-тени	0.867	31.0	4.0	-11.0	11.7	маска	DJI_20260813183101_0008_Z.JPG	130	3083,566,8,7	48	73,73,90	174.1
133	19	0.600	палка-ручка-контроль	2.2	14.9	лишайник-жёлтый-на-камне	1.252	42.7	5.0	24.0	24.5	маска	DJI_20260813183534_0014_Z_00m31s.jpg	65	41,839,6,6	24	143,115,80	96.9
